index,Pmax
15-02-2018,73159
14-02-2018,126216
13-02-2018,75507
12-02-2018,119166
11-02-2018,109454
10-02-2018,45298
9-02-2018,126189
8-02-2018,46931
7-02-2018,139219
6-02-2018,85148
5-02-2018,31511
4-02-2018,32506
3-02-2018,62035
2-02-2018,89263
1-02-2018,135859
31-01-2018,128861
30-01-2018,139905
29-01-2018,101361
28-01-2018,37563
27-01-2018,31586
26-01-2018,90521
25-01-2018,96723
24-01-2018,32262
23-01-2018,35071
22-01-2018,31989
21-01-2018,44410
20-01-2018,127465
19-01-2018,65867
18-01-2018,19490
17-01-2018,59561
16-01-2018,37630
15-01-2018,31098
14-01-2018,9042
13-01-2018,46712
12-01-2018,34909
11-01-2018,51405
10-01-2018,35014
9-01-2018,46146
8-01-2018,81089
7-01-2018,116973
6-01-2018,109010
5-01-2018,86598
4-01-2018,38278
3-01-2018,77853
2-01-2018,112786
1-01-2018,104913
31-12-2017,37641
30-12-2017,94436
29-12-2017,66782
28-12-2017,95773
27-12-2017,90526
26-12-2017,76561
25-12-2017,40336
24-12-2017,2467
23-12-2017,13234
22-12-2017,31340
21-12-2017,24829
20-12-2017,45254
19-12-2017,50419
18-12-2017,18057
17-12-2017,44791
16-12-2017,92037
15-12-2017,72224
14-12-2017,52761
13-12-2017,92745
12-12-2017,99886
11-12-2017,98030
10-12-2017,91394
9-12-2017,81778
8-12-2017,113447
7-12-2017,31637
6-12-2017,69056
5-12-2017,18088
4-12-2017,87995
3-12-2017,90296
2-12-2017,100088
1-12-2017,92390
30-11-2017,118863
29-11-2017,79201
28-11-2017,127308
27-11-2017,132825
26-11-2017,105071
25-11-2017,85637
24-11-2017,58856
23-11-2017,107997
22-11-2017,118432
21-11-2017,137466
20-11-2017,142815
19-11-2017,133799
18-11-2017,117990
17-11-2017,28678
16-11-2017,32382
15-11-2017,109736
14-11-2017,157387
13-11-2017,156776
12-11-2017,173741
11-11-2017,157551
10-11-2017,44890
9-11-2017,22020
8-11-2017,92335
7-11-2017,150677
6-11-2017,163355
5-11-2017,43088
4-11-2017,135287
3-11-2017,160548
2-11-2017,180933
1-11-2017,181788
31-10-2017,172878
30-10-2017,173559
29-10-2017,182406
28-10-2017,196088
27-10-2017,135268
26-10-2017,147931
25-10-2017,173831
24-10-2017,204712
23-10-2017,203417
22-10-2017,194921
21-10-2017,178519
20-10-2017,127593
19-10-2017,139202
18-10-2017,162776
17-10-2017,223280
16-10-2017,226305
15-10-2017,222740
14-10-2017,205152
13-10-2017,53946
12-10-2017,131403
11-10-2017,187881
10-10-2017,188348
9-10-2017,191362
8-10-2017,229057
7-10-2017,132992
6-10-2017,214666
5-10-2017,214478
4-10-2017,221678
3-10-2017,235151
2-10-2017,195759
1-10-2017,211543
30-09-2017,201032
29-09-2017,191460
28-09-2017,176821
27-09-2017,216492
26-09-2017,226164
25-09-2017,240336
24-09-2017,238175
23-09-2017,235969
22-09-2017,234500
21-09-2017,234006
20-09-2017,253338
19-09-2017,242081
18-09-2017,269856
17-09-2017,121760
16-09-2017,256004
15-09-2017,264098
14-09-2017,269520
13-09-2017,274781
12-09-2017,276962
11-09-2017,257045
10-09-2017,247753
9-09-2017,243648
8-09-2017,275457
7-09-2017,281423
6-09-2017,288662
5-09-2017,285940
4-09-2017,274502
3-09-2017,254683
2-09-2017,259565
1-09-2017,229126
31-08-2017,281359
30-08-2017,268167
29-08-2017,267114
28-08-2017,209853
27-08-2017,237674
26-08-2017,275009
25-08-2017,276582
24-08-2017,273812
23-08-2017,234549
22-08-2017,273448
21-08-2017,289328
20-08-2017,292190
19-08-2017,255945
18-08-2017,224323
17-08-2017,262808
16-08-2017,177826
15-08-2017,156439
14-08-2017,273249
13-08-2017,285558
12-08-2017,296465
11-08-2017,309868
10-08-2017,305736
9-08-2017,272594
8-08-2017,280502
7-08-2017,293962
6-08-2017,295738
5-08-2017,298959
4-08-2017,308281
3-08-2017,310609
2-08-2017,225120
1-08-2017,289381
31-07-2017,278619
30-07-2017,270108
29-07-2017,306539
28-07-2017,274381
27-07-2017,229695
26-07-2017,294613
25-07-2017,294485
24-07-2017,302896
23-07-2017,302072
22-07-2017,306887
21-07-2017,309180
20-07-2017,315691
19-07-2017,297220
18-07-2017,292155
17-07-2017,321246
16-07-2017,246870
15-07-2017,300062
14-07-2017,310421
13-07-2017,316458
12-07-2017,315684
11-07-2017,301327
10-07-2017,323145
9-07-2017,316367
8-07-2017,309651
7-07-2017,319244
6-07-2017,323669
5-07-2017,318869
4-07-2017,317250
3-07-2017,309387
2-07-2017,140524
1-07-2017,106871
30-06-2017,117864
29-06-2017,147889
28-06-2017,292289
27-06-2017,313776
26-06-2017,227002
25-06-2017,303356
24-06-2017,319305
23-06-2017,271606
22-06-2017,277584
21-06-2017,263073
20-06-2017,267645
19-06-2017,263642
18-06-2017,321206
17-06-2017,235141
16-06-2017,200910
15-06-2017,172911
14-06-2017,276525
13-06-2017,252034
12-06-2017,259657
11-06-2017,183622
10-06-2017,214811
9-06-2017,233162
8-06-2017,161504
7-06-2017,167141
6-06-2017,141287
5-06-2017,298122
4-06-2017,318103
3-06-2017,206122
2-06-2017,195496
1-06-2017,138054
31-05-2017,251315
30-05-2017,126703
29-05-2017,201026
28-05-2017,160679
27-05-2017,256405
26-05-2017,273733
25-05-2017,270608
24-05-2017,256679
23-05-2017,291353
22-05-2017,308654
21-05-2017,293664
20-05-2017,152575
19-05-2017,239546
18-05-2017,215808
17-05-2017,184760
16-05-2017,266395
15-05-2017,287638
14-05-2017,258862
13-05-2017,163635
12-05-2017,179659
11-05-2017,214529
10-05-2017,292127
9-05-2017,292055
8-05-2017,293786
7-05-2017,294092
6-05-2017,300928
5-05-2017,149569
4-05-2017,99888
3-05-2017,147923
2-05-2017,56775
1-05-2017,241367
30-04-2017,267376
29-04-2017,147900
28-04-2017,213403
27-04-2017,179318
26-04-2017,235679
25-04-2017,258438
24-04-2017,100638
23-04-2017,113716
22-04-2017,270559
21-04-2017,195345
20-04-2017,165586
19-04-2017,99224
18-04-2017,183127
17-04-2017,181915
16-04-2017,183166
15-04-2017,249318
14-04-2017,261372
13-04-2017,266012
12-04-2017,259626
11-04-2017,131330
10-04-2017,204019
9-04-2017,256813
8-04-2017,251842
7-04-2017,28429
