index,Pmax
1,73159
2,126216
3,75507
4,119166
5,109454
6,45298
7,126189
8,46931
9,139219
10,85148
11,31511
12,32506
13,62035
14,89263
15,135859
16,128861
17,139905
18,101361
19,37563
20,31586
21,90521
22,96723
23,32262
24,35071
25,31989
26,44410
27,127465
28,65867
29,19490
30,59561
31,37630
32,31098
33,9042
34,46712
35,34909
36,51405
37,35014
38,46146
39,81089
40,116973
41,109010
42,86598
43,38278
44,77853
45,112786
46,104913
47,37641
48,94436
49,66782
50,95773
51,90526
52,76561
53,40336
54,2467
55,13234
56,31340
57,24829
58,45254
59,50419
60,18057
61,44791
62,92037
63,72224
64,52761
65,92745
66,99886
67,98030
68,91394
69,81778
70,113447
71,31637
72,69056
73,18088
74,87995
75,90296
76,100088
77,92390
78,118863
79,79201
80,127308
81,132825
82,105071
83,85637
84,58856
85,107997
86,118432
87,137466
88,142815
89,133799
90,117990
91,28678
92,32382
93,109736
94,157387
95,156776
96,173741
97,157551
98,44890
99,22020
100,92335
101,150677
102,163355
103,43088
104,135287
105,160548
106,180933
107,181788
108,172878
109,173559
110,182406
111,196088
112,135268
113,147931
114,173831
115,204712
116,203417
117,194921
118,178519
119,127593
120,139202
121,162776
122,223280
123,226305
124,222740
125,205152
126,53946
127,131403
128,187881
129,188348
130,191362
131,229057
132,132992
133,214666
134,214478
135,221678
136,235151
137,195759
138,211543
139,201032
140,191460
141,176821
142,216492
143,226164
144,240336
145,238175
146,235969
147,234500
148,234006
149,253338
150,242081
151,269856
152,121760
153,256004
154,264098
155,269520
156,274781
157,276962
158,257045
159,247753
160,243648
161,275457
162,281423
163,288662
164,285940
165,274502
166,254683
167,259565
168,229126
169,281359
170,268167
171,267114
172,209853
173,237674
174,275009
175,276582
176,273812
177,234549
178,273448
179,289328
180,292190
181,255945
182,224323
183,262808
184,177826
185,156439
186,273249
187,285558
188,296465
189,309868
190,305736
191,272594
192,280502
193,293962
194,295738
195,298959
196,308281
197,310609
198,225120
199,289381
200,278619
201,270108
202,306539
203,274381
204,229695
205,294613
206,294485
207,302896
208,302072
209,306887
210,309180
211,315691
212,297220
213,292155
214,321246
215,246870
216,300062
217,310421
218,316458
219,315684
220,301327
221,323145
222,316367
223,309651
224,319244
225,323669
226,318869
227,317250
228,309387
229,140524
230,106871
231,117864
232,147889
233,292289
234,313776
235,227002
236,303356
237,319305
238,271606
239,277584
240,263073
241,267645
242,263642
243,321206
244,235141
245,200910
246,172911
247,276525
248,252034
249,259657
250,183622
251,214811
252,233162
253,161504
254,167141
255,141287
256,298122
257,318103
258,206122
259,195496
260,138054
261,251315
262,126703
263,201026
264,160679
265,256405
266,273733
267,270608
268,256679
269,291353
270,308654
271,293664
272,152575
273,239546
274,215808
275,184760
276,266395
277,287638
278,258862
279,163635
280,179659
281,214529
282,292127
283,292055
284,293786
285,294092
286,300928
287,149569
288,99888
289,147923
290,56775
291,241367
292,267376
293,147900
294,213403
295,179318
296,235679
297,258438
298,100638
299,113716
300,270559
301,195345
302,165586
303,99224
304,183127
305,181915
306,183166
307,249318
308,261372
309,266012
310,259626
311,131330
312,204019
313,256813
314,251842
315,28429
