Date,Pmax
150218,73159
140218,126216
130218,75507
120218,119166
110218,109454
100218,45298
90218,126189
80218,46931
70218,139219
60218,85148
50218,31511
40218,32506
30218,62035
20218,89263
10218,135859
310118,128861
300118,139905
290118,101361
280118,37563
270118,31586
260118,90521
250118,96723
240118,32262
230118,35071
220118,31989
210118,44410
200118,127465
190118,65867
180118,19490
170118,59561
160118,37630
150118,31098
140118,9042
130118,46712
120118,34909
110118,51405
100118,35014
90118,46146
80118,81089
70118,116973
60118,109010
50118,86598
40118,38278
30118,77853
20118,112786
10118,104913
311217,37641
301217,94436
291217,66782
281217,95773
271217,90526
261217,76561
251217,40336
241217,2467
231217,13234
221217,31340
211217,24829
201217,45254
191217,50419
181217,18057
171217,44791
161217,92037
151217,72224
141217,52761
131217,92745
121217,99886
111217,98030
101217,91394
91217,81778
81217,113447
71217,31637
61217,69056
51217,18088
41217,87995
31217,90296
21217,100088
11217,92390
301117,118863
291117,79201
171117,127308
161117,132825
151117,105071
141117,85637
131117,58856
121117,107997
111117,118432
101117,137466
91117,142815
81117,133799
71117,117990
61117,28678
51117,32382
41117,109736
31117,157387
21117,156776
11117,173741
311017,157551
301017,44890
291017,22020
281017,92335
271017,150677
261017,163355
251017,43088
241017,135287
231017,160548
221017,180933
211017,181788
201017,172878
191017,173559
181017,182406
171017,196088
161017,135268
151017,147931
141017,173831
131017,204712
121017,203417
111017,194921
101017,178519
91017,127593
81017,139202
71017,162776
61017,223280
51017,226305
41017,222740
31017,205152
21017,53946
11017,131403
300917,187881
290917,188348
280917,191362
270917,229057
260917,132992
250917,214666
240917,214478
230917,221678
220917,235151
210917,195759
200917,211543
190917,201032
180917,191460
170917,176821
160917,216492
150917,226164
140917,240336
130917,238175
120917,235969
110917,234500
100917,234006
90917,253338
80917,242081
70917,269856
60917,121760
50917,256004
40917,264098
30917,269520
20917,274781
10917,276962
310817,257045
300817,247753
290817,243648
280817,275457
270817,281423
260817,288662
250817,285940
240817,274502
230817,254683
220817,259565
210817,229126
200817,281359
190817,268167
180817,267114
170817,209853
160817,237674
150817,275009
140817,276582
130817,273812
120817,234549
110817,273448
100817,289328
90817,292190
80817,255945
70817,224323
60817,262808
50817,177826
40817,156439
30817,273249
20817,285558
10817,296465
310717,309868
300717,305736
290717,272594
280717,280502
270717,293962
260717,295738
250717,298959
240717,308281
230717,310609
220717,225120
210717,289381
200717,278619
190717,270108
180717,306539
170717,274381
160717,229695
150717,294613
140717,294485
130717,302896
120717,302072
110717,306887
100717,309180
90717,315691
80717,297220
70717,292155
60717,321246
50717,246870
40717,300062
30717,310421
20717,316458
10717,315684
300617,301327
290617,323145
280617,316367
270617,309651
260617,319244
250617,323669
240617,318869
230617,317250
220617,309387
210617,140524
200617,106871
190617,117864
180617,147889
170617,292289
160617,313776
150617,227002
140617,303356
130617,319305
120617,271606
110617,277584
100617,263073
90617,267645
80617,263642
70617,321206
60617,235141
50617,200910
40617,172911
30617,276525
20617,252034
10617,259657
310517,183622
300517,214811
290517,233162
280517,161504
270517,167141
260517,141287
250517,298122
240517,318103
230517,206122
220517,195496
210517,138054
200517,251315
190517,126703
180517,201026
170517,160679
160517,256405
150517,273733
140517,270608
130517,256679
120517,291353
110517,308654
100517,293664
90517,152575
80517,239546
70517,215808
60517,184760
50517,266395
40517,287638
30517,258862
20517,163635
10517,179659
300417,214529
290417,292127
280417,292055
270417,293786
260417,294092
250417,300928
240417,149569
230417,99888
220417,147923
210417,56775
200417,241367
190417,267376
180417,147900
170417,213403
160417,179318
150417,235679
140417,258438
130417,100638
120417,113716
110417,270559
100417,195345
90417,165586
80417,99224
70417,183127
60417,181915
50417,183166
40417,249318
30417,261372
20417,266012
10417,259626
310317,131330
300317,204019
290317,256813
280317,251842
270317,28429
