#Date,Inv,Psum,Pmax
15.02.18,0,7980,0
15.02.18,1,7820,0
15.02.18,2,7736,0
15.02.18,3,10474,0
15.02.18,4,7507,0
15.02.18,5,7532,0
15.02.18,6,7476,0
15.02.18,7,11280,0
15.02.18,8,5354,0
15.02.18,9,0,0
14.02.18,0,13350,0
14.02.18,1,12826,0
14.02.18,2,12539,0
14.02.18,3,16621,0
14.02.18,4,13860,0
14.02.18,5,13414,0
14.02.18,6,13737,0
14.02.18,7,20313,0
14.02.18,8,9556,0
14.02.18,9,0,0
13.02.18,0,8236,0
13.02.18,1,8021,0
13.02.18,2,7877,0
13.02.18,3,10647,0
13.02.18,4,7771,0
13.02.18,5,7802,0
13.02.18,6,7816,0
13.02.18,7,11783,0
13.02.18,8,5554,0
13.02.18,9,0,0
12.02.18,0,12771,0
12.02.18,1,12345,0
12.02.18,2,11928,0
12.02.18,3,15482,0
12.02.18,4,12889,0
12.02.18,5,12749,0
12.02.18,6,12872,0
12.02.18,7,19123,0
12.02.18,8,9007,0
12.02.18,9,0,0
11.02.18,0,11686,0
11.02.18,1,11229,0
11.02.18,2,10784,0
11.02.18,3,14375,0
11.02.18,4,11852,0
11.02.18,5,11551,0
11.02.18,6,11948,0
11.02.18,7,17708,0
11.02.18,8,8321,0
11.02.18,9,0,0
10.02.18,0,5002,0
10.02.18,1,4914,0
10.02.18,2,4871,0
10.02.18,3,6727,0
10.02.18,4,4510,0
10.02.18,5,4530,0
10.02.18,6,4539,0
10.02.18,7,6936,0
10.02.18,8,3269,0
10.02.18,9,0,0
09.02.18,0,13338,0
09.02.18,1,12791,0
09.02.18,2,12259,0
09.02.18,3,16232,0
09.02.18,4,13917,0
09.02.18,5,13767,0
09.02.18,6,13858,0
09.02.18,7,20423,0
09.02.18,8,9604,0
09.02.18,9,0,0
08.02.18,0,5159,0
08.02.18,1,5021,0
08.02.18,2,4914,0
08.02.18,3,6693,0
08.02.18,4,4774,0
08.02.18,5,4794,0
08.02.18,6,4814,0
08.02.18,7,7326,0
08.02.18,8,3436,0
08.02.18,9,0,0
07.02.18,0,14576,0
07.02.18,1,13982,0
07.02.18,2,13460,0
07.02.18,3,17737,0
07.02.18,4,15500,0
07.02.18,5,15299,0
07.02.18,6,15387,0
07.02.18,7,22643,0
07.02.18,8,10635,0
07.02.18,9,0,0
06.02.18,0,9136,0
06.02.18,1,8881,0
06.02.18,2,8708,0
06.02.18,3,11818,0
06.02.18,4,8939,0
06.02.18,5,8860,0
06.02.18,6,9006,0
06.02.18,7,13456,0
06.02.18,8,6344,0
06.02.18,9,0,0
05.02.18,0,3661,0
05.02.18,1,1850,0
05.02.18,2,3579,0
05.02.18,3,5073,0
05.02.18,4,3283,0
05.02.18,5,3288,0
05.02.18,6,3293,0
05.02.18,7,5096,0
05.02.18,8,2388,0
05.02.18,9,0,0
04.02.18,0,3587,0
04.02.18,1,3541,0
04.02.18,2,3515,0
04.02.18,3,4966,0
04.02.18,4,3196,0
04.02.18,5,3207,0
04.02.18,6,3212,0
04.02.18,7,4955,0
04.02.18,8,2327,0
04.02.18,9,0,0
03.02.18,0,6787,0
03.02.18,1,6649,0
03.02.18,2,6604,0
03.02.18,3,9078,0
03.02.18,4,6271,0
03.02.18,5,6287,0
03.02.18,6,6293,0
03.02.18,7,9549,0
03.02.18,8,4517,0
03.02.18,9,0,0
02.02.18,0,9502,0
02.02.18,1,9202,0
02.02.18,2,9058,0
02.02.18,3,12234,0
02.02.18,4,9488,0
02.02.18,5,9449,0
02.02.18,6,9509,0
02.02.18,7,14154,0
02.02.18,8,6667,0
02.02.18,9,0,0
01.02.18,0,14204,0
01.02.18,1,13576,0
01.02.18,2,12995,0
01.02.18,3,16882,0
01.02.18,4,15073,0
01.02.18,5,14959,0
01.02.18,6,15265,0
01.02.18,7,22409,0
01.02.18,8,10496,0
01.02.18,9,0,0
31.01.18,0,13472,0
31.01.18,1,12863,0
31.01.18,2,12294,0
31.01.18,3,15893,0
31.01.18,4,14272,0
31.01.18,5,14226,0
31.01.18,6,14517,0
31.01.18,7,21347,0
31.01.18,8,9977,0
31.01.18,9,0,0
30.01.18,0,14581,0
30.01.18,1,13919,0
30.01.18,2,13332,0
30.01.18,3,17170,0
30.01.18,4,15531,0
30.01.18,5,15521,0
30.01.18,6,15803,0
30.01.18,7,23200,0
30.01.18,8,10848,0
30.01.18,9,0,0
29.01.18,0,10727,0
29.01.18,1,10353,0
29.01.18,2,9977,0
29.01.18,3,13157,0
29.01.18,4,10940,0
29.01.18,5,11120,0
29.01.18,6,11049,0
29.01.18,7,16363,0
29.01.18,8,7675,0
29.01.18,9,0,0
28.01.18,0,4157,0
28.01.18,1,4107,0
28.01.18,2,4103,0
28.01.18,3,5767,0
28.01.18,4,3662,0
28.01.18,5,3683,0
28.01.18,6,3682,0
28.01.18,7,5726,0
28.01.18,8,2676,0
28.01.18,9,0,0
27.01.18,0,3489,0
27.01.18,1,3455,0
27.01.18,2,3442,0
27.01.18,3,4880,0
27.01.18,4,3069,0
27.01.18,5,3082,0
27.01.18,6,3089,0
27.01.18,7,4830,0
27.01.18,8,2250,0
27.01.18,9,0,0
26.01.18,0,9161,0
26.01.18,1,8796,0
26.01.18,2,9129,0
26.01.18,3,11919,0
26.01.18,4,10085,0
26.01.18,5,9962,0
26.01.18,6,10195,0
26.01.18,7,14597,0
26.01.18,8,6677,0
26.01.18,9,0,0
25.01.18,0,10058,0
25.01.18,1,9807,0
25.01.18,2,9634,0
25.01.18,3,12862,0
25.01.18,4,10186,0
25.01.18,5,10317,0
25.01.18,6,10627,0
25.01.18,7,15831,0
25.01.18,8,7401,0
25.01.18,9,0,0
24.01.18,0,3284,0
24.01.18,1,3520,0
24.01.18,2,3535,0
24.01.18,3,5065,0
24.01.18,4,3162,0
24.01.18,5,3167,0
24.01.18,6,3172,0
24.01.18,7,5013,0
24.01.18,8,2344,0
24.01.18,9,0,0
23.01.18,0,3862,0
23.01.18,1,3816,0
23.01.18,2,3797,0
23.01.18,3,5346,0
23.01.18,4,3445,0
23.01.18,5,3460,0
23.01.18,6,3468,0
23.01.18,7,5368,0
23.01.18,8,2509,0
23.01.18,9,0,0
22.01.18,0,3665,0
22.01.18,1,2467,0
22.01.18,2,3586,0
22.01.18,3,5004,0
22.01.18,4,3242,0
22.01.18,5,3270,0
22.01.18,6,3275,0
22.01.18,7,5099,0
22.01.18,8,2381,0
22.01.18,9,0,0
21.01.18,0,4844,0
21.01.18,1,4730,0
21.01.18,2,4631,0
21.01.18,3,6344,0
21.01.18,4,4502,0
21.01.18,5,4587,0
21.01.18,6,4573,0
21.01.18,7,6943,0
21.01.18,8,3256,0
21.01.18,9,0,0
20.01.18,0,13230,0
20.01.18,1,12552,0
20.01.18,2,12061,0
20.01.18,3,15459,0
20.01.18,4,14023,0
20.01.18,5,14362,0
20.01.18,6,14551,0
20.01.18,7,21300,0
20.01.18,8,9927,0
20.01.18,9,0,0
19.01.18,0,7073,0
19.01.18,1,6821,0
19.01.18,2,6537,0
19.01.18,3,8348,0
19.01.18,4,6844,0
19.01.18,5,7295,0
19.01.18,6,7176,0
19.01.18,7,10755,0
19.01.18,8,5018,0
19.01.18,9,0,0
18.01.18,0,2135,0
18.01.18,1,2092,0
18.01.18,2,2067,0
18.01.18,3,2968,0
18.01.18,4,1913,0
18.01.18,5,1900,0
18.01.18,6,1953,0
18.01.18,7,3063,0
18.01.18,8,1399,0
18.01.18,9,0,0
17.01.18,0,6370,0
17.01.18,1,6188,0
17.01.18,2,6101,0
17.01.18,3,8337,0
17.01.18,4,6203,0
17.01.18,5,6271,0
17.01.18,6,6282,0
17.01.18,7,9394,0
17.01.18,8,4415,0
17.01.18,9,0,0
16.01.18,0,4138,0
16.01.18,1,4068,0
16.01.18,2,4051,0
16.01.18,3,5636,0
16.01.18,4,3735,0
16.01.18,5,3761,0
16.01.18,6,3764,0
16.01.18,7,5775,0
16.01.18,8,2702,0
16.01.18,9,0,0
15.01.18,0,3496,0
15.01.18,1,2586,0
15.01.18,2,3421,0
15.01.18,3,4845,0
15.01.18,4,3122,0
15.01.18,5,3171,0
15.01.18,6,3171,0
15.01.18,7,4949,0
15.01.18,8,2337,0
15.01.18,9,0,0
14.01.18,0,983,0
14.01.18,1,970,0
14.01.18,2,938,0
14.01.18,3,1470,0
14.01.18,4,877,0
14.01.18,5,868,0
14.01.18,6,870,0
14.01.18,7,1442,0
14.01.18,8,624,0
14.01.18,9,0,0
13.01.18,0,5117,0
13.01.18,1,4978,0
13.01.18,2,4890,0
13.01.18,3,6686,0
13.01.18,4,4643,0
13.01.18,5,4671,0
13.01.18,6,4838,0
13.01.18,7,7406,0
13.01.18,8,3483,0
13.01.18,9,0,0
12.01.18,0,4000,0
12.01.18,1,2093,0
12.01.18,2,3859,0
12.01.18,3,5374,0
12.01.18,4,3715,0
12.01.18,5,3753,0
12.01.18,6,3745,0
12.01.18,7,5693,0
12.01.18,8,2677,0
12.01.18,9,0,0
11.01.18,0,5530,0
11.01.18,1,5381,0
11.01.18,2,5304,0
11.01.18,3,7257,0
11.01.18,4,5328,0
11.01.18,5,5393,0
11.01.18,6,5354,0
11.01.18,7,8073,0
11.01.18,8,3785,0
11.01.18,9,0,0
10.01.18,0,3806,0
10.01.18,1,3725,0
10.01.18,2,3680,0
10.01.18,3,5128,0
10.01.18,4,3532,0
10.01.18,5,3585,0
10.01.18,6,3554,0
10.01.18,7,5454,0
10.01.18,8,2550,0
10.01.18,9,0,0
09.01.18,0,4991,0
09.01.18,1,4846,0
09.01.18,2,4722,0
09.01.18,3,6430,0
09.01.18,4,4736,0
09.01.18,5,4872,0
09.01.18,6,4831,0
09.01.18,7,7305,0
09.01.18,8,3413,0
09.01.18,9,0,0
08.01.18,0,8559,0
08.01.18,1,8212,0
08.01.18,2,7964,0
08.01.18,3,10560,0
08.01.18,4,8581,0
08.01.18,5,9046,0
08.01.18,6,8866,0
08.01.18,7,13145,0
08.01.18,8,6156,0
08.01.18,9,0,0
07.01.18,0,12066,0
07.01.18,1,11402,0
07.01.18,2,10922,0
07.01.18,3,13964,0
07.01.18,4,12624,0
07.01.18,5,13409,0
07.01.18,6,13533,0
07.01.18,7,19832,0
07.01.18,8,9221,0
07.01.18,9,0,0
06.01.18,0,11308,0
06.01.18,1,10713,0
06.01.18,2,10291,0
06.01.18,3,13327,0
06.01.18,4,11614,0
06.01.18,5,12296,0
06.01.18,6,12520,0
06.01.18,7,18386,0
06.01.18,8,8555,0
06.01.18,9,0,0
05.01.18,0,9233,0
05.01.18,1,8838,0
05.01.18,2,8547,0
05.01.18,3,10386,0
05.01.18,4,9090,0
05.01.18,5,9545,0
05.01.18,6,9767,0
05.01.18,7,14443,0
05.01.18,8,6749,0
05.01.18,9,0,0
04.01.18,0,4131,0
04.01.18,1,4032,0
04.01.18,2,3967,0
04.01.18,3,5448,0
04.01.18,4,3953,0
04.01.18,5,3993,0
04.01.18,6,3964,0
04.01.18,7,5997,0
04.01.18,8,2793,0
04.01.18,9,0,0
03.01.18,0,8207,0
03.01.18,1,7854,0
03.01.18,2,7637,0
03.01.18,3,10080,0
03.01.18,4,8243,0
03.01.18,5,8491,0
03.01.18,6,8630,0
03.01.18,7,12757,0
03.01.18,8,5954,0
03.01.18,9,0,0
02.01.18,0,11706,0
02.01.18,1,11059,0
02.01.18,2,10612,0
02.01.18,3,13673,0
02.01.18,4,12129,0
02.01.18,5,12730,0
02.01.18,6,12975,0
02.01.18,7,19044,0
02.01.18,8,8858,0
02.01.18,9,0,0
01.01.18,0,10963,0
01.01.18,1,10405,0
01.01.18,2,9964,0
01.01.18,3,12761,0
01.01.18,4,11019,0
01.01.18,5,11847,0
01.01.18,6,12029,0
01.01.18,7,17706,0
01.01.18,8,8219,0
01.01.18,9,0,0
31.12.17,0,4085,0
31.12.17,1,3989,0
31.12.17,2,3932,0
31.12.17,3,5443,0
31.12.17,4,3847,0
31.12.17,5,3869,0
31.12.17,6,3864,0
31.12.17,7,5878,0
31.12.17,8,2734,0
31.12.17,9,0,0
30.12.17,0,9922,0
30.12.17,1,9519,0
30.12.17,2,9264,0
30.12.17,3,12184,0
30.12.17,4,10145,0
30.12.17,5,10480,0
30.12.17,6,10413,0
30.12.17,7,15348,0
30.12.17,8,7161,0
30.12.17,9,0,0
29.12.17,0,7111,0
29.12.17,1,6828,0
29.12.17,2,6650,0
29.12.17,3,9021,0
29.12.17,4,6822,0
29.12.17,5,7082,0
29.12.17,6,7332,0
29.12.17,7,10886,0
29.12.17,8,5050,0
29.12.17,9,0,0
28.12.17,0,10088,0
28.12.17,1,9589,0
28.12.17,2,9289,0
28.12.17,3,11381,0
28.12.17,4,10307,0
28.12.17,5,10737,0
28.12.17,6,10895,0
28.12.17,7,16046,0
28.12.17,8,7441,0
28.12.17,9,0,0
27.12.17,0,10076,0
27.12.17,1,9058,0
27.12.17,2,7809,0
27.12.17,3,7887,0
27.12.17,4,10340,0
27.12.17,5,11048,0
27.12.17,6,10910,0
27.12.17,7,16005,0
27.12.17,8,7393,0
27.12.17,9,0,0
26.12.17,0,5354,0
26.12.17,1,2853,0
26.12.17,2,2121,0
26.12.17,3,2390,0
26.12.17,4,11570,0
26.12.17,5,12453,0
26.12.17,6,12667,0
26.12.17,7,18601,0
26.12.17,8,8552,0
26.12.17,9,0,0
25.12.17,0,1211,0
25.12.17,1,807,0
25.12.17,2,942,0
25.12.17,3,1404,0
25.12.17,4,7043,0
25.12.17,5,8174,0
25.12.17,6,7631,0
25.12.17,7,9377,0
25.12.17,8,3747,0
25.12.17,9,0,0
24.12.17,0,122,0
24.12.17,1,72,0
24.12.17,2,103,0
24.12.17,3,304,0
24.12.17,4,315,0
24.12.17,5,356,0
24.12.17,6,332,0
24.12.17,7,660,0
24.12.17,8,203,0
24.12.17,9,0,0
23.12.17,0,1532,0
23.12.17,1,715,0
23.12.17,2,1472,0
23.12.17,3,2210,0
23.12.17,4,1365,0
23.12.17,5,1359,0
23.12.17,6,1369,0
23.12.17,7,2212,0
23.12.17,8,1000,0
23.12.17,9,0,0
22.12.17,0,3455,0
22.12.17,1,3407,0
22.12.17,2,3378,0
22.12.17,3,4672,0
22.12.17,4,3116,0
22.12.17,5,3131,0
22.12.17,6,3129,0
22.12.17,7,4800,0
22.12.17,8,2252,0
22.12.17,9,0,0
21.12.17,0,2896,0
21.12.17,1,1136,0
21.12.17,2,2810,0
21.12.17,3,3933,0
21.12.17,4,2621,0
21.12.17,5,2635,0
21.12.17,6,2694,0
21.12.17,7,4169,0
21.12.17,8,1935,0
21.12.17,9,0,0
20.12.17,0,5188,0
20.12.17,1,2452,0
20.12.17,2,5027,0
20.12.17,3,6941,0
20.12.17,4,4827,0
20.12.17,5,4926,0
20.12.17,6,4924,0
20.12.17,7,7458,0
20.12.17,8,3511,0
20.12.17,9,0,0
19.12.17,0,5683,0
19.12.17,1,2857,0
19.12.17,2,5439,0
19.12.17,3,7428,0
19.12.17,4,5433,0
19.12.17,5,5543,0
19.12.17,6,5625,0
19.12.17,7,8447,0
19.12.17,8,3964,0
19.12.17,9,0,0
18.12.17,0,1983,0
18.12.17,1,1952,0
18.12.17,2,1922,0
18.12.17,3,2723,0
18.12.17,4,1793,0
18.12.17,5,1795,0
18.12.17,6,1801,0
18.12.17,7,2790,0
18.12.17,8,1298,0
18.12.17,9,0,0
17.12.17,0,5081,0
17.12.17,1,2723,0
17.12.17,2,4835,0
17.12.17,3,6376,0
17.12.17,4,4880,0
17.12.17,5,4982,0
17.12.17,6,4961,0
17.12.17,7,7455,0
17.12.17,8,3498,0
17.12.17,9,0,0
16.12.17,0,9970,0
16.12.17,1,4966,0
16.12.17,2,9072,0
16.12.17,3,11905,0
16.12.17,4,10370,0
16.12.17,5,10915,0
16.12.17,6,11042,0
16.12.17,7,16234,0
16.12.17,8,7563,0
16.12.17,9,0,0
15.12.17,0,7859,0
15.12.17,1,4809,0
15.12.17,2,7240,0
15.12.17,3,9600,0
15.12.17,4,7953,0
15.12.17,5,8452,0
15.12.17,6,8288,0
15.12.17,7,12289,0
15.12.17,8,5734,0
15.12.17,9,0,0
14.12.17,0,6095,0
14.12.17,1,2335,0
14.12.17,2,5777,0
14.12.17,3,7887,0
14.12.17,4,5671,0
14.12.17,5,5737,0
14.12.17,6,5989,0
14.12.17,7,9040,0
14.12.17,8,4230,0
14.12.17,9,0,0
13.12.17,0,9829,0
13.12.17,1,7032,0
13.12.17,2,8898,0
13.12.17,3,11414,0
13.12.17,4,10121,0
13.12.17,5,10860,0
13.12.17,6,10973,0
13.12.17,7,16129,0
13.12.17,8,7489,0
13.12.17,9,0,0
12.12.17,0,10599,0
12.12.17,1,7712,0
12.12.17,2,9617,0
12.12.17,3,12380,0
12.12.17,4,10797,0
12.12.17,5,11583,0
12.12.17,6,11794,0
12.12.17,7,17336,0
12.12.17,8,8068,0
12.12.17,9,0,0
11.12.17,0,10561,0
11.12.17,1,6116,0
11.12.17,2,9639,0
11.12.17,3,12092,0
11.12.17,4,10969,0
11.12.17,5,11882,0
11.12.17,6,11669,0
11.12.17,7,17129,0
11.12.17,8,7973,0
11.12.17,9,0,0
10.12.17,0,9904,0
10.12.17,1,4973,0
10.12.17,2,9133,0
10.12.17,3,12160,0
10.12.17,4,10217,0
10.12.17,5,10614,0
10.12.17,6,10881,0
10.12.17,7,16038,0
10.12.17,8,7474,0
10.12.17,9,0,0
09.12.17,0,9077,0
09.12.17,1,3447,0
09.12.17,2,8323,0
09.12.17,3,11078,0
09.12.17,4,9097,0
09.12.17,5,9534,0
09.12.17,6,9843,0
09.12.17,7,14579,0
09.12.17,8,6800,0
09.12.17,9,0,0
08.12.17,0,11725,0
08.12.17,1,11083,0
08.12.17,2,10642,0
08.12.17,3,13661,0
08.12.17,4,12073,0
08.12.17,5,12919,0
08.12.17,6,13102,0
08.12.17,7,19265,0
08.12.17,8,8977,0
08.12.17,9,0,0
07.12.17,0,3440,0
07.12.17,1,3377,0
07.12.17,2,3331,0
07.12.17,3,4695,0
07.12.17,4,3168,0
07.12.17,5,3204,0
07.12.17,6,3200,0
07.12.17,7,4920,0
07.12.17,8,2302,0
07.12.17,9,0,0
06.12.17,0,7636,0
06.12.17,1,3402,0
06.12.17,2,7118,0
06.12.17,3,9541,0
06.12.17,4,7678,0
06.12.17,5,7968,0
06.12.17,6,8088,0
06.12.17,7,12027,0
06.12.17,8,5598,0
06.12.17,9,0,0
05.12.17,0,1985,0
05.12.17,1,1956,0
05.12.17,2,1925,0
05.12.17,3,2817,0
05.12.17,4,1772,0
05.12.17,5,1776,0
05.12.17,6,1779,0
05.12.17,7,2785,0
05.12.17,8,1293,0
05.12.17,9,0,0
04.12.17,0,9365,0
04.12.17,1,6483,0
04.12.17,2,8676,0
04.12.17,3,11555,0
04.12.17,4,9836,0
04.12.17,5,10112,0
04.12.17,6,10125,0
04.12.17,7,14895,0
04.12.17,8,6948,0
04.12.17,9,0,0
03.12.17,0,9837,0
03.12.17,1,5473,0
03.12.17,2,9087,0
03.12.17,3,11819,0
03.12.17,4,10150,0
03.12.17,5,10611,0
03.12.17,6,10544,0
03.12.17,7,15520,0
03.12.17,8,7255,0
03.12.17,9,0,0
02.12.17,0,10696,0
02.12.17,1,6343,0
02.12.17,2,9812,0
02.12.17,3,12805,0
02.12.17,4,11427,0
02.12.17,5,11802,0
02.12.17,6,11825,0
02.12.17,7,17308,0
02.12.17,8,8070,0
02.12.17,9,0,0
01.12.17,0,9922,0
01.12.17,1,7716,0
01.12.17,2,9285,0
01.12.17,3,12326,0
01.12.17,4,9942,0
01.12.17,5,10240,0
01.12.17,6,10380,0
01.12.17,7,15374,0
01.12.17,8,7205,0
01.12.17,9,0,0
30.11.17,0,12548,0
30.11.17,1,9646,0
30.11.17,2,11410,0
30.11.17,3,14587,0
30.11.17,4,13173,0
30.11.17,5,13744,0
30.11.17,6,13885,0
30.11.17,7,20367,0
30.11.17,8,9503,0
30.11.17,9,0,0
29.11.17,0,8672,0
29.11.17,1,5011,0
29.11.17,2,8091,0
29.11.17,3,10896,0
29.11.17,4,8613,0
29.11.17,5,8744,0
29.11.17,6,9160,0
29.11.17,7,13641,0
29.11.17,8,6373,0
29.11.17,9,0,0
17.11.17,0,12029,0
17.11.17,1,11406,0
17.11.17,2,10763,0
17.11.17,3,13848,0
17.11.17,4,12719,0
17.11.17,5,13146,0
17.11.17,6,13328,0
17.11.17,7,19658,0
17.11.17,8,9163,0
17.11.17,9,11248,0
16.11.17,0,12540,0
16.11.17,1,11938,0
16.11.17,2,11306,0
16.11.17,3,14526,0
16.11.17,4,13293,0
16.11.17,5,13726,0
16.11.17,6,13873,0
16.11.17,7,20474,0
16.11.17,8,9536,0
16.11.17,9,11613,0
15.11.17,0,10007,0
15.11.17,1,9504,0
15.11.17,2,8998,0
15.11.17,3,11607,0
15.11.17,4,10469,0
15.11.17,5,10765,0
15.11.17,6,10865,0
15.11.17,7,16034,0
15.11.17,8,7476,0
15.11.17,9,9346,0
14.11.17,0,8281,0
14.11.17,1,7963,0
14.11.17,2,7710,0
14.11.17,3,10350,0
14.11.17,4,8337,0
14.11.17,5,8491,0
14.11.17,6,8416,0
14.11.17,7,12599,0
14.11.17,8,5917,0
14.11.17,9,7573,0
13.11.17,0,5881,0
13.11.17,1,5734,0
13.11.17,2,5627,0
13.11.17,3,7380,0
13.11.17,4,5459,0
13.11.17,5,5484,0
13.11.17,6,5531,0
13.11.17,7,8423,0
13.11.17,8,3968,0
13.11.17,9,5369,0
12.11.17,0,10536,0
12.11.17,1,10116,0
12.11.17,2,9692,0
12.11.17,3,12877,0
12.11.17,4,10287,0
12.11.17,5,10581,0
12.11.17,6,10755,0
12.11.17,7,16054,0
12.11.17,8,7548,0
12.11.17,9,9551,0
11.11.17,0,11380,0
11.11.17,1,10875,0
11.11.17,2,10363,0
11.11.17,3,13552,0
11.11.17,4,11662,0
11.11.17,5,11950,0
11.11.17,6,11952,0
11.11.17,7,17708,0
11.11.17,8,8308,0
11.11.17,9,10682,0
10.11.17,0,13165,0
10.11.17,1,12593,0
10.11.17,2,12021,0
10.11.17,3,15530,0
10.11.17,4,13766,0
10.11.17,5,13922,0
10.11.17,6,14004,0
10.11.17,7,20695,0
10.11.17,8,9710,0
10.11.17,9,12060,0
09.11.17,0,13696,0
09.11.17,1,13072,0
09.11.17,2,12452,0
09.11.17,3,16150,0
