Date,Ptotal
05.09.16,208541
04.09.16,266068
03.09.16,272907
02.09.16,244325
01.09.16,241732
31.08.16,233722
30.08.16,269866
29.08.16,216506
28.08.16,236343
27.08.16,199393
26.08.16,256183
25.08.16,240495
24.08.16,242283
23.08.16,259936
22.08.16,277905
21.08.16,270900
20.08.16,277438
19.08.16,272685
18.08.16,272643
17.08.16,291812
16.08.16,298807
15.08.16,303414
14.08.16,142634
13.08.16,202634
12.08.16,248187
11.08.16,271071
10.08.16,246348
09.08.16,281952
08.08.16,270107
07.08.16,263393
06.08.16,259172
05.08.16,269153
04.08.16,277481
03.08.16,210753
02.08.16,254079
01.08.16,280168
31.07.16,280302
30.07.16,241148
29.07.16,282151
28.07.16,278133
27.07.16,287292
26.07.16,293800
25.07.16,301117
24.07.16,306165
23.07.16,296154
22.07.16,281699
21.07.16,278936
20.07.16,220373
19.07.16,285116
18.07.16,292921
17.07.16,292162
16.07.16,301406
15.07.16,307145
14.07.16,290729
13.07.16,306506
12.07.16,313643
11.07.16,313716
10.07.16,319341
09.07.16,312901
08.07.16,263925
07.07.16,274831
06.07.16,297137
05.07.16,315277
04.07.16,265608
03.07.16,305647
02.07.16,305601
01.07.16,254522
30.06.16,218489
29.06.16,217363
28.06.16,299180
27.06.16,200855
26.06.16,310002
25.06.16,310410
24.06.16,306996
23.06.16,311126
22.06.16,317005
21.06.16,308152
20.06.16,317809
19.06.16,318850
18.06.16,328332
17.06.16,325135
16.06.16,277558
15.06.16,297926
14.06.16,135703
13.06.16,268658
12.06.16,329897
11.06.16,294863
10.06.16,289676
09.06.16,200560
08.06.16,67655
07.06.16,302685
06.06.16,253071
05.06.16,302473
04.06.16,301654
03.06.16,240433
02.06.16,306767
01.06.16,282347
31.05.16,292552
30.05.16,294890
29.05.16,224151
28.05.16,68096
27.05.16,310812
26.05.16,290687
25.05.16,196657
24.05.16,306241
23.05.16,116367
22.05.16,155707
21.05.16,212331
20.05.16,321853
19.05.16,323637
18.05.16,207880
17.05.16,299773
16.05.16,302873
15.05.16,214448
14.05.16,226696
13.05.16,196535
12.05.16,183089
11.05.16,242187
10.05.16,190903
09.05.16,222479
08.05.16,262444
07.05.16,215146
06.05.16,113987
05.05.16,166999
04.05.16,187755
03.05.16,207019
02.05.16,222999
01.05.16,302158
30.04.16,290804
29.04.16,239434
28.04.16,300395
27.04.16,276782
26.04.16,161789
25.04.16,171068
24.04.16,214970
23.04.16,227209
22.04.16,291360
21.04.16,223704
20.04.16,232124
19.04.16,240202
18.04.16,281612
17.04.16,287416
16.04.16,286971
15.04.16,194264
14.04.16,268517
13.04.16,182514
12.04.16,94917
11.04.16,197733
10.04.16,229829
09.04.16,173338
08.04.16,142502
07.04.16,200165
06.04.16,237884
05.04.16,244556
04.04.16,244999
03.04.16,251052
02.04.16,222425
01.04.16,246217
31.03.16,243070
30.03.16,200758
29.03.16,244626
28.03.16,59160
27.03.16,52476
26.03.16,62657
25.03.16,124966
24.03.16,94949
23.03.16,145461
22.03.16,170719
21.03.16,182217
20.03.16,102071
19.03.16,32426
18.03.16,227736
17.03.16,138800
16.03.16,65153
15.03.16,117468
28.02.16,5416
27.02.16,112940
26.02.16,169241
25.02.16,48147
24.02.16,123615
23.02.16,177617
22.02.16,179046
21.02.16,36190
20.02.16,42012
19.02.16,121822
18.02.16,144632
17.02.16,132086
16.02.16,146794
15.02.16,105928
14.02.16,56088
13.02.16,44600
12.02.16,76861
11.02.16,36352
10.02.16,114092
09.02.16,59786
08.02.16,9657
07.02.16,809
06.02.16,0
05.02.16,104255
